Reading;Sample;;Start Time;Duration;Max Time;Max;;Average;;Min Time;Min;;Description;Stop Time
107;0,3892;A AC;19.01.22 8:03:30,5;0:00:03,1;19.01.22 8:03:30,6;0,3898;A AC;0,249283870967742;A AC;19.01.22 8:03:31,1;0,146;A AC;Unstable;19.01.22 8:03:33,6
108;0,3816;A AC;19.01.22 8:03:33,6;0:00:01,9;19.01.22 8:03:34,6;0,3916;A AC;0,38861052631579;A AC;19.01.22 8:03:33,6;0,3816;A AC;Interval;19.01.22 8:03:35,5
109;0,3916;A AC;19.01.22 8:03:35,5;0:00:02,9;19.01.22 8:03:35,5;0,3916;A AC;0,241720689655172;A AC;19.01.22 8:03:36,0;0,1519;A AC;Unstable;19.01.22 8:03:38,4
110;0,3668;A AC;19.01.22 8:03:38,4;0:00:01,9;19.01.22 8:03:38,8;0,39;A AC;0,386478947368421;A AC;19.01.22 8:03:38,4;0,3668;A AC;Stable;19.01.22 8:03:40,3
111;0,3145;A AC;19.01.22 8:03:40,3;0:00:00,1;19.01.22 8:03:40,3;0,3145;A AC;0,3145;A AC;19.01.22 8:03:40,3;0,3145;A AC;Unstable;19.01.22 8:03:40,4
112;0,2559;A AC;19.01.22 8:03:40,4;0:00:00,1;19.01.22 8:03:40,4;0,2559;A AC;0,2559;A AC;19.01.22 8:03:40,4;0,2559;A AC;Interval;19.01.22 8:03:40,5
113;0,1832;A AC;19.01.22 8:03:40,5;0:00:02,6;19.01.22 8:03:43,0;0,3351;A AC;0,231388461538462;A AC;19.01.22 8:03:40,6;0,1479;A AC;Unstable;19.01.22 8:03:43,1
114;0,3747;A AC;19.01.22 8:03:43,1;0:00:02,1;19.01.22 8:03:44,7;0,3909;A AC;0,387338095238095;A AC;19.01.22 8:03:45,1;0,3696;A AC;Stable;19.01.22 8:03:45,2
115;0,2747;A AC;19.01.22 8:03:45,2;0:00:00,1;19.01.22 8:03:45,2;0,2747;A AC;0,2747;A AC;19.01.22 8:03:45,2;0,2747;A AC;Unstable;19.01.22 8:03:45,3
116;0,2122;A AC;19.01.22 8:03:45,3;0:00:00,1;19.01.22 8:03:45,3;0,2122;A AC;0,2122;A AC;19.01.22 8:03:45,3;0,2122;A AC;Interval;19.01.22 8:03:45,4
117;0,1606;A AC;19.01.22 8:03:45,4;0:00:02,7;19.01.22 8:03:48,1;0,3744;A AC;0,239692592592593;A AC;19.01.22 8:03:45,5;0,1552;A AC;Unstable;19.01.22 8:03:48,2
