Configurations,Start Time,Stop Time
-v original -w 62 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:00:18 CET 2022, Tue Jan 18 09:00:23 CET 2022
-v original -w 64 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:00:23 CET 2022, Tue Jan 18 09:00:28 CET 2022
-v original -w 1 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:00:28 CET 2022, Tue Jan 18 09:00:33 CET 2022
-v original -w 2 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:00:33 CET 2022, Tue Jan 18 09:00:38 CET 2022
-v original -w 4 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:00:38 CET 2022, Tue Jan 18 09:00:42 CET 2022
-v original -w 6 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:00:42 CET 2022, Tue Jan 18 09:00:47 CET 2022
-v original -w 8 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:00:47 CET 2022, Tue Jan 18 09:00:51 CET 2022
-v original -w 10 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:00:51 CET 2022, Tue Jan 18 09:00:55 CET 2022
-v original -w 12 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:00:55 CET 2022, Tue Jan 18 09:00:59 CET 2022
-v original -w 14 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:00:59 CET 2022, Tue Jan 18 09:01:04 CET 2022
-v original -w 16 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:01:04 CET 2022, Tue Jan 18 09:01:08 CET 2022
-v original -w 18 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:01:08 CET 2022, Tue Jan 18 09:01:13 CET 2022
-v original -w 20 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:01:13 CET 2022, Tue Jan 18 09:01:17 CET 2022
-v original -w 22 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:01:17 CET 2022, Tue Jan 18 09:01:22 CET 2022
-v original -w 24 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:01:22 CET 2022, Tue Jan 18 09:01:27 CET 2022
-v original -w 26 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:01:27 CET 2022, Tue Jan 18 09:01:31 CET 2022
-v original -w 28 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:01:31 CET 2022, Tue Jan 18 09:01:36 CET 2022
-v original -w 30 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:01:36 CET 2022, Tue Jan 18 09:01:40 CET 2022
-v original -w 32 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:01:40 CET 2022, Tue Jan 18 09:01:45 CET 2022
-v original -w 34 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:01:45 CET 2022, Tue Jan 18 09:01:50 CET 2022
-v original -w 36 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:01:50 CET 2022, Tue Jan 18 09:01:54 CET 2022
-v original -w 38 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:01:54 CET 2022, Tue Jan 18 09:01:59 CET 2022
-v original -w 40 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:01:59 CET 2022, Tue Jan 18 09:02:04 CET 2022
-v original -w 42 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:02:04 CET 2022, Tue Jan 18 09:02:08 CET 2022
-v original -w 44 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:02:08 CET 2022, Tue Jan 18 09:02:13 CET 2022
-v original -w 46 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:02:13 CET 2022, Tue Jan 18 09:02:18 CET 2022
-v original -w 48 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:02:18 CET 2022, Tue Jan 18 09:02:23 CET 2022
-v original -w 50 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:02:23 CET 2022, Tue Jan 18 09:02:28 CET 2022
-v original -w 52 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:02:28 CET 2022, Tue Jan 18 09:02:33 CET 2022
-v original -w 54 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:02:33 CET 2022, Tue Jan 18 09:02:37 CET 2022
-v original -w 56 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:02:37 CET 2022, Tue Jan 18 09:02:42 CET 2022
-v original -w 58 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:02:42 CET 2022, Tue Jan 18 09:02:47 CET 2022
-v original -w 60 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:02:47 CET 2022, Tue Jan 18 09:02:52 CET 2022
-v original -w 62 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:02:52 CET 2022, Tue Jan 18 09:02:57 CET 2022
-v original -w 64 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:02:57 CET 2022, Tue Jan 18 09:03:02 CET 2022
-v original -w 1 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:03:02 CET 2022, Tue Jan 18 09:03:07 CET 2022
-v original -w 2 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:03:07 CET 2022, Tue Jan 18 09:03:12 CET 2022
-v original -w 4 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:03:12 CET 2022, Tue Jan 18 09:03:16 CET 2022
-v original -w 6 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:03:16 CET 2022, Tue Jan 18 09:03:20 CET 2022
-v original -w 8 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:03:20 CET 2022, Tue Jan 18 09:03:24 CET 2022
-v original -w 10 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:03:24 CET 2022, Tue Jan 18 09:03:29 CET 2022
-v original -w 12 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:03:29 CET 2022, Tue Jan 18 09:03:33 CET 2022
-v original -w 14 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:03:33 CET 2022, Tue Jan 18 09:03:37 CET 2022
-v original -w 16 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:03:37 CET 2022, Tue Jan 18 09:03:42 CET 2022
-v original -w 18 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:03:42 CET 2022, Tue Jan 18 09:03:46 CET 2022
-v original -w 20 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:03:46 CET 2022, Tue Jan 18 09:03:51 CET 2022
-v original -w 22 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:03:51 CET 2022, Tue Jan 18 09:03:55 CET 2022
-v original -w 24 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:03:55 CET 2022, Tue Jan 18 09:04:00 CET 2022
-v original -w 26 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:04:00 CET 2022, Tue Jan 18 09:04:05 CET 2022
-v original -w 28 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:04:05 CET 2022, Tue Jan 18 09:04:09 CET 2022
-v original -w 30 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:04:09 CET 2022, Tue Jan 18 09:04:14 CET 2022
-v original -w 32 -s 0 -t 1000 -r 50 -n 10 -p 5, Tue Jan 18 09:04:14 CET 2022, Tue Jan 18 09:04:19 CET 2022
