Configurations,Start Time,Stop Time
-v original -w 62 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:14:24 CET 2022, Wed Jan 19 08:14:29 CET 2022
-v original -w 64 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:14:29 CET 2022, Wed Jan 19 08:14:34 CET 2022
-v original -w 1 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:14:34 CET 2022, Wed Jan 19 08:14:39 CET 2022
-v original -w 2 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:14:39 CET 2022, Wed Jan 19 08:14:44 CET 2022
-v original -w 4 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:14:44 CET 2022, Wed Jan 19 08:14:48 CET 2022
-v original -w 6 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:14:48 CET 2022, Wed Jan 19 08:14:52 CET 2022
-v original -w 8 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:14:52 CET 2022, Wed Jan 19 08:14:57 CET 2022
-v original -w 10 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:14:57 CET 2022, Wed Jan 19 08:15:01 CET 2022
-v original -w 12 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:15:01 CET 2022, Wed Jan 19 08:15:05 CET 2022
-v original -w 14 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:15:05 CET 2022, Wed Jan 19 08:15:10 CET 2022
-v original -w 16 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:15:10 CET 2022, Wed Jan 19 08:15:14 CET 2022
-v original -w 18 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:15:14 CET 2022, Wed Jan 19 08:15:19 CET 2022
-v original -w 20 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:15:19 CET 2022, Wed Jan 19 08:15:23 CET 2022
-v original -w 22 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:15:23 CET 2022, Wed Jan 19 08:15:27 CET 2022
-v original -w 24 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:15:27 CET 2022, Wed Jan 19 08:15:32 CET 2022
-v original -w 26 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:15:32 CET 2022, Wed Jan 19 08:15:37 CET 2022
-v original -w 28 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:15:37 CET 2022, Wed Jan 19 08:15:41 CET 2022
-v original -w 30 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:15:41 CET 2022, Wed Jan 19 08:15:46 CET 2022
-v original -w 32 -s 0 -t 1000 -r 50 -n 10 -p 5, Wed Jan 19 08:15:46 CET 2022, Wed Jan 19 08:15:51 CET 2022
